Category,Discounted,SoldBy,Url,Title,CurrentPrice,Savings,OriginalPrice,SellerRating
Baby Gift Sets,False,ARDENMETRADING,http://uae.souq.com/ae-en/kid-proof-gyro-bowl-4186312/i/,Kid-Proof Gyro Bowl,28,,28,(89% Positive Rating)
Batteries,False,Arab-World,http://uae.souq.com/ae-en/laptop-replacement-batteries-for-lenovo-x200-9627481/i/,Laptop Replacement Batteries for Lenovo-X200,94.99,,94.99,(100% Positive Rating)
Feeding,False,Maikop,http://uae.souq.com/ae-en/as-seen-on-tv-gyro-bowl-spill-resistant-kids-gyroscopic-bowl-with-lid-7722066/i/,As Seen On Tv Gyro Bowl Spill Resistant Kids Gyroscopic Bowl With Lid,22,,22,(90% Positive Rating)
Baby Gift Sets,False,smartbaby,http://uae.souq.com/ae-en/smart-baby-gift-set-8-pieces-9511868/i/,Smart Baby Gift Set 8 Pieces,69,,69,(93% Positive Rating)
Baby Bath & Skin Care,False,Huggies-UAE,http://uae.souq.com/ae-en/huggies-baby-wipes-soft-skin-56-count-10719913/i/,"Huggies Baby Wipes Soft Skin, 56 Count",15,,15,(97% Positive Rating)
Baby Gears,False,Elegance-Fashion,http://uae.souq.com/ae-en/snack-and-play-travel-tray-car-seat-blue-9788100/i/,Snack and Play Travel Tray Car Seat - Blue,38,,38,(90% Positive Rating)
Baby Bath & Skin Care,False,Elegance-Fashion,http://uae.souq.com/ae-en/baby-bath-foam-5027889/i/,BABY BATH FOAM,39,,39,(90% Positive Rating)
Watch Accessories,False,MegaBox,http://uae.souq.com/ae-en/for-apple-watch-42mm-genuine-leather-magnetic-lock-loop-band-strap-for-apple-watch-42mm-black-9930316/i/,For Apple Watch 42mm - Genuine Leather Magnetic Lock Loop Band Strap For Apple Watch 42mm Black,38,,38,(94% Positive Rating)
Smart Watches,False,SIRI-Store,http://uae.souq.com/ae-en/fantime-sw08-smart-watch-black-9140858/i/,Fantime SW08 Smart Watch - Black,99.99,,99.99,(85% Positive Rating)
Baby Accessories,True,Elegance-Fashion,http://uae.souq.com/ae-en/fantastic-gadgets-shampoo-shield-baby-hat-7351101/i/,Fantastic Gadgets Shampoo Shield Baby Hat,13.1,34.90 AED,48.00 ,(90% Positive Rating)
Baby Accessories,True,BLGT,http://uae.souq.com/ae-en/disney-princess-3-drawer-storage-unit-ds-27001-cr-7652641/i/,Disney Princess 3 Drawer Storage Unit [DS-27001-CR],59,56.00 AED,115.00 ,(74% Positive Rating)
Pet Supplies,False,double-blades,http://uae.souq.com/ae-en/hoodie-fleece-sweater-black-dog-clothes-7693615/i/,Hoodie Fleece sweater Black Dog Clothes,67.97,,67.97,(100% Positive Rating)
Baby bags,False,KidMart,http://uae.souq.com/ae-en/baby-care-2016-fashion-5pcs-set-diaper-bag-mummy-bag-mother-bag-dark-blue-10679388/i/,Baby Care 2016 Fashion 5Pcs/set Diaper Bag Mummy Bag Mother Bag -dark blue,44,,44,(100% Positive Rating)
Baby bags,False,princess1234,http://uae.souq.com/ae-en/baby-travel-bag-for-unisex-lagoon-blue-9294836/i/,"Baby Travel Bag for Unisex, Lagoon Blue",142,,142,(92% Positive Rating)
Musical Instruments Parts,False,seven-11,http://uae.souq.com/ae-en/universal-aluminum-headphone-holder-headset-showing-display-stand-hanger-for-all-headphones-black-11732375/i/,"Universal Aluminum Headphone Holder Headset Showing Display Stand Hanger for All Headphones,black",43,,43,(89% Positive Rating)
Musical Instruments Parts,False,EchoBeats,http://uae.souq.com/ae-en/gsa10bk-guitar-strap-10889619/i/,GSA10BK Guitar Strap,25,,25,(97% Positive Rating)
Toys,True,alhoora,http://uae.souq.com/ae-en/home-supermarket-play-set-10224991/i/,Home Supermarket Play set,75,45.00 AED,120.00 ,(88% Positive Rating)
Toys,False,thayal50,http://uae.souq.com/ae-en/mini-electronic-coins-and-bills-vault-with-voice-command-red-7561317/i/,Mini Electronic Coins and Bills Vault with Voice Command [Red],35,,35,(100% Positive Rating)
Toys,True,kisheand1,http://uae.souq.com/ae-en/kid-s-burger-builder-play-set-8818c-8170550/i/,"Kid's Burger Builder Play Set, 8818C",27.92,41.08 AED,69.00 ,(87% Positive Rating)
Toys,True,BISMILLAHSTORE,http://uae.souq.com/ae-en/flutterbye-flying-fairy-6973660/i/,Flutterbye Flying Fairy,104,46.00 AED,150.00 ,(99% Positive Rating)
Toys,False,laffier,http://uae.souq.com/ae-en/pokemon-go-pikachu-plush-doll-pocket-monsters-stuffed-toy-wjzb0121-11375028/i/,Pokemon go Pikachu Plush Doll Pocket Monsters stuffed toy[WJZB0121],42,,42,(0% Positive Rating)
Toys,True,alhoora,http://uae.souq.com/ae-en/home-supermarket-kids-playset-diy-7739873/i/,Home Supermarket Kids Playset - DIY,86,53.00 AED,139.00 ,(88% Positive Rating)
Toys,False,Agriculturalelectronics,http://uae.souq.com/ae-en/money-safe-mini-electronic-atm-bank-machine-toy-9910393/i/,money safe Mini Electronic atm bank machine toy,60,,60,(0% Positive Rating)
Toys,False,wholesale-traders,http://uae.souq.com/ae-en/dayan-5-zhanchi-3-dayan-educational-productsspeed-cube-black-4901508/i/,Dayan 5 ZhanChi 3 Dayan Educational ProductsSpeed Cube Black,59.97,,59.97,(95% Positive Rating)
